,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
0,0,0,1,0,0,1400,0,485000,5,8,11
1,1,0,2,0,0,1200,0,485000,5,5,13
2,2,0,3,0,0,1400,0,625000,4,11,1
3,3,0,4,0,0,1200,0,1750000,1,5,3
4,4,0,5,0,0,1600,0,625000,4,2,10
5,5,0,6,0,0,1200,0,625000,4,9,14
6,6,0,7,0,0,1400,0,1150000,2,5,7
7,7,0,8,0,0,1000,0,1150000,2,13,3
8,8,0,9,0,0,1400,0,850000,3,7,5
9,9,0,10,0,0,1200,0,850000,3,1,13
10,10,1,1,0,0,1650,0,485000,5,2,7
11,11,1,2,0,0,1650,0,625000,4,2,9
12,12,1,3,0,0,1200,0,625000,4,1,6
13,13,1,4,0,0,1000,0,625000,4,1,5
14,14,1,5,0,0,1650,0,625000,4,12,3
15,15,1,6,0,0,1000,0,850000,3,8,2
16,16,1,7,0,0,1650,0,850000,3,11,8
17,17,1,8,0,0,1200,0,1150000,2,1,7
18,18,0,1,1,0,1000,0,625000,4,3,5
19,19,0,2,1,0,1600,0,625000,4,7,10
20,20,0,3,1,0,1000,0,850000,3,9,8
21,21,0,4,0,1,1200,1,625000,4,5,6
22,22,0,5,1,0,1400,0,485000,5,9,6
23,23,0,6,1,0,1400,0,625000,4,2,3
24,24,0,7,1,0,1600,0,1150000,2,8,1
25,25,0,8,0,1,1200,1,850000,3,9,5
26,26,0,9,1,0,1400,0,1750000,1,3,9
27,27,0,10,1,0,1400,0,850000,3,5,4
28,28,1,1,2,0,1800,2,625000,4,1,5
29,29,1,2,2,0,1000,2,485000,5,10,6
30,30,1,3,2,0,1200,2,625000,4,8,9
31,31,1,4,2,0,1650,2,485000,5,3,10
32,32,1,5,2,0,1650,2,625000,4,9,10
33,33,1,6,2,0,1800,1,850000,3,10,5
34,34,1,7,2,0,1200,1,850000,3,5,9
35,35,1,8,2,0,1650,1,1150000,2,10,9
36,36,0,1,3,0,1200,0,625000,4,10,6
37,37,0,2,3,0,1600,0,485000,5,12,5
38,38,0,3,3,0,1200,0,625000,4,3,7
39,39,0,4,3,0,1400,0,485000,5,4,9
40,40,0,5,3,0,1400,0,625000,4,2,10
41,41,0,6,3,0,1600,0,625000,4,2,8
42,42,0,7,3,0,1200,0,1150000,2,3,2
43,43,0,8,3,0,1200,0,850000,3,7,5
44,44,0,9,3,0,1200,0,850000,3,11,13
45,45,0,10,3,0,1600,0,850000,3,13,14
46,46,0,1,4,0,1800,0,625000,4,11,1
47,47,0,2,4,0,1600,0,625000,4,7,9
48,48,0,3,4,0,1800,0,850000,3,3,8
49,49,0,4,4,0,1000,0,625000,4,9,2
50,50,0,5,4,0,1400,0,485000,5,6,8
51,51,0,6,4,0,1000,0,850000,3,8,14
52,52,0,7,4,0,1400,0,625000,4,11,2
53,53,0,8,4,0,1400,0,2300000,13,4,6
54,54,0,9,4,0,1400,0,850000,3,9,4
55,55,0,10,4,0,1400,0,1150000,2,1,11
56,56,0,1,5,0,1600,2,850000,3,7,8
57,57,0,2,0,1,1650,3,625000,4,4,2
58,58,0,3,5,0,1800,2,1150000,2,7,4
59,59,0,4,5,0,1800,2,485000,5,12,2
60,60,0,5,0,1,1200,3,625000,4,11,7
61,61,0,6,0,1,1200,3,1150000,2,12,5
62,62,0,7,5,0,1400,2,625000,4,1,9
63,63,0,8,5,0,1000,2,2300000,13,2,10
64,64,0,9,0,1,1200,3,850000,3,6,5
65,65,0,10,5,0,1400,2,850000,3,6,10
66,66,1,1,4,0,1650,1,485000,5,1,3
67,67,1,2,4,0,1800,1,625000,4,5,1
68,68,1,3,4,0,1650,1,1150000,2,10,7
69,69,1,4,4,0,1200,1,625000,4,3,2
70,70,1,5,4,0,1650,1,625000,4,1,6
71,71,1,6,4,0,1200,1,850000,3,2,6
72,72,1,7,4,0,1650,1,850000,3,5,7
73,73,1,8,4,0,1650,1,850000,3,8,1
74,74,0,1,0,0,1200,0,485000,5,10,11
75,75,0,2,0,0,1400,0,485000,5,7,4
76,76,0,3,0,0,1200,0,625000,4,10,6
77,77,0,4,0,0,1200,0,625000,4,3,11
78,78,0,5,0,0,1400,0,625000,4,6,13
79,79,0,6,0,0,1200,0,850000,3,10,9
80,80,0,7,0,0,1600,0,625000,4,6,13
81,81,0,8,0,0,1800,0,1750000,1,1,7
82,82,0,9,0,0,1200,0,1150000,2,8,7
83,83,0,10,0,0,1400,0,850000,3,12,8
84,84,0,11,0,0,1600,0,1150000,2,12,4
85,85,1,1,5,0,1800,1,485000,5,12,8
86,86,1,2,5,0,1200,1,625000,4,9,10
87,87,1,3,5,0,1000,1,625000,4,8,2
88,88,1,4,5,0,1200,1,485000,5,7,10
89,89,1,5,5,0,1650,1,625000,4,10,9
90,90,1,6,5,0,1000,1,850000,3,5,6
91,91,1,7,5,0,1200,1,850000,3,1,3
92,92,1,8,5,0,1800,1,850000,3,9,7
93,93,1,1,0,0,2200,1,625000,4,10,6
94,94,1,2,0,0,1650,1,485000,5,10,4
95,95,1,3,0,0,1200,1,625000,4,3,7
96,96,1,4,0,0,1650,1,625000,4,7,10
97,97,1,5,0,0,1650,1,625000,4,6,7
98,98,1,6,0,0,1650,1,850000,3,5,12
99,99,1,7,0,0,1650,1,850000,3,8,9
100,100,1,8,0,0,1200,1,850000,3,5,10
101,101,1,9,0,0,1200,1,850000,3,5,9
102,102,1,10,0,0,1200,1,1400000,1,4,10
103,103,1,11,0,0,1650,1,1400000,1,7,11
104,104,0,1,2,0,1400,1,485000,5,8,7
105,105,0,2,2,0,1400,1,625000,4,10,3
106,106,0,3,2,0,1200,1,625000,4,10,4
107,107,0,4,2,0,1400,1,625000,4,8,4
108,108,0,5,2,0,1000,1,1150000,2,13,10
109,109,0,6,2,0,1800,1,850000,3,13,8
110,110,0,7,2,0,1200,1,850000,3,2,4
111,111,0,8,2,0,1200,1,2300000,13,10,4
112,112,0,9,2,0,1600,1,2300000,13,2,8
113,113,0,10,2,0,1400,1,1400000,1,9,4
114,114,0,11,2,0,1400,1,850000,3,10,4
115,115,0,1,0,1,1200,1,625000,4,10,11
116,116,0,2,0,1,1200,1,485000,5,3,8
117,117,0,3,0,1,1200,1,625000,4,4,2
118,118,0,4,0,1,1200,1,850000,3,9,2
119,119,0,5,0,1,1650,1,485000,5,1,8
120,120,0,6,0,1,1650,1,625000,4,5,1
121,121,0,7,0,1,1650,1,1150000,2,13,4
122,122,0,8,0,1,1650,1,850000,3,12,5
123,123,0,1,4,0,1400,1,0,5,1,5
124,124,0,2,4,0,1200,1,0,4,4,3
125,125,0,3,4,0,1800,1,0,5,11,1
126,126,0,4,4,0,1400,1,0,4,1,6
127,127,0,5,4,0,1800,1,0,4,10,14
128,128,0,6,4,0,1600,1,0,4,9,6
129,129,0,7,4,0,1000,1,0,3,10,7
130,130,0,8,4,0,1400,1,0,3,12,11
131,131,0,9,4,0,1600,1,0,2,4,10
132,132,0,10,4,0,1600,1,0,3,9,1
133,133,1,1,4,0,1200,1,0,5,10,3
134,134,1,2,4,0,1650,1,0,4,1,3
135,135,1,3,4,0,1200,1,0,4,9,3
136,136,1,4,4,0,2200,1,0,3,6,1
137,137,1,5,4,0,1650,1,0,3,2,6
138,138,1,6,4,0,1200,1,0,3,12,7
139,139,1,7,4,0,1200,1,0,2,4,3
140,140,1,8,4,0,1800,1,0,1,1,2
141,141,0,1,5,0,1400,1,0,5,7,4
142,142,0,2,5,0,1000,1,0,4,5,3
143,143,0,3,5,0,1400,1,0,4,2,5
144,144,0,4,5,0,1600,1,0,5,3,11
145,145,0,5,0,1,1650,1,0,4,7,4
146,146,0,6,5,0,1400,1,0,4,8,9
147,147,0,7,0,1,1200,1,0,3,1,2
148,148,0,8,5,0,1400,1,0,3,2,14
149,149,0,9,0,1,1650,1,0,3,4,8
150,150,0,10,5,0,1400,1,0,1,9,1
151,151,0,1,0,0,1200,1,0,0,3,4
152,152,0,2,0,0,1200,1,0,4,4,12
153,153,0,3,0,0,1200,1,0,3,10,7
154,154,0,4,0,0,1600,1,0,4,11,10
155,155,0,5,0,0,2000,1,0,4,10,12
156,156,0,6,0,0,1800,1,0,3,14,6
157,157,0,7,0,0,1400,1,0,2,3,6
158,158,0,8,0,0,2000,1,0,12,1,7
159,159,0,9,0,0,1600,1,0,1,12,3
160,160,0,10,0,0,1400,1,0,3,1,9
161,161,0,11,0,0,1200,1,0,2,10,2
162,162,1,1,0,0,1000,1,0,5,7,8
163,163,1,2,0,0,1200,1,0,4,12,9
164,164,1,3,0,0,1200,1,0,4,7,1
165,165,1,4,0,0,1800,1,0,5,5,4
166,166,1,5,0,0,1650,1,0,4,2,8
167,167,1,6,0,0,1650,1,0,3,5,8
168,168,1,7,0,0,1000,1,0,3,4,5
169,169,1,8,0,0,1650,1,0,3,12,1
170,170,0,1,2,0,1200,1,0,5,6,10
171,171,0,2,0,1,1650,1,0,5,1,3
172,172,0,3,2,0,1200,1,0,4,1,5
173,173,0,4,2,0,2000,1,0,1,5,3
174,174,0,5,2,0,1400,1,0,4,6,1
175,175,0,6,2,0,1600,1,0,3,3,13
176,176,0,7,0,1,1650,1,0,1,6,9
177,177,0,8,2,0,1600,1,0,12,3,7
178,178,0,9,2,0,1200,1,0,12,4,2
179,179,0,10,2,0,1200,1,0,3,12,2
180,180,0,11,2,0,1400,1,0,3,12,8
181,181,1,1,4,0,1650,1,0,5,7,8
182,182,1,2,4,0,1650,1,0,4,6,5
183,183,1,3,4,0,1000,1,0,4,11,10
184,184,1,4,4,0,1800,1,0,4,6,11
185,185,1,5,4,0,1200,1,0,3,5,2
186,186,1,6,4,0,1200,1,0,3,7,12
187,187,1,7,4,0,1650,1,0,3,2,3
188,188,1,8,4,0,1200,1,0,2,10,11
189,189,0,1,4,0,1000,0,0,4,10,1
190,190,0,2,4,0,1400,0,0,5,1,3
191,191,0,3,4,0,1400,0,0,4,3,8
192,192,0,4,4,0,1800,0,0,3,2,10
193,193,0,5,4,0,1800,0,0,4,7,2
194,194,0,6,4,0,1000,0,0,3,4,1
195,195,0,7,4,0,1400,0,0,3,6,10
196,196,0,8,4,0,1400,0,0,1,13,6
197,197,0,9,4,0,1400,0,0,3,4,14
198,198,0,10,4,0,1600,0,0,2,13,8
199,199,1,1,5,0,2200,1,0,5,3,11
200,200,1,2,5,0,1200,1,0,4,10,4
201,201,1,3,5,0,1000,1,0,4,2,1
202,202,1,4,5,0,1650,1,0,4,5,9
203,203,1,5,5,0,1650,1,0,4,5,2
204,204,1,6,5,0,1000,1,0,3,12,8
205,205,1,7,5,0,1650,1,0,3,2,6
206,206,1,8,5,0,1650,1,0,2,3,9
207,207,0,1,5,0,1400,1,0,0,4,1
208,208,0,2,0,1,1200,1,0,5,3,12
209,209,0,3,0,1,1200,1,0,4,8,7
210,210,0,4,0,1,1800,1,0,4,9,1
211,211,0,5,0,1,1200,1,0,3,7,1
212,212,0,6,5,0,1400,1,0,4,13,12
213,213,0,7,0,1,1200,1,0,3,4,2
214,214,0,8,0,1,1200,1,0,2,4,7
215,215,0,9,0,1,1650,1,0,3,6,13
216,216,0,10,5,0,1400,1,0,2,6,13
217,217,1,1,0,0,1650,1,0,5,4,2
218,218,1,2,0,0,2200,1,0,3,9,3
219,219,1,3,0,0,1650,1,0,4,3,11
220,220,1,4,0,0,1200,1,0,4,3,9
221,221,1,5,0,0,1800,1,0,4,8,10
222,222,1,6,0,0,1200,1,0,3,8,6
223,223,1,7,0,0,1650,1,0,3,5,9
224,224,1,8,0,0,1800,1,0,1,3,9
225,225,0,1,0,0,1400,1,0,1,2,3
226,226,0,2,0,0,1200,1,0,3,3,6
227,227,0,3,0,0,1200,1,0,2,1,5
228,228,0,4,0,0,2400,1,0,11,1,6
229,229,0,5,0,0,1200,1,0,11,12,6
230,230,0,6,0,0,1400,1,0,3,2,5
231,231,0,7,0,0,1600,1,0,11,1,8
232,232,0,8,0,0,2000,1,0,11,1,5
233,233,0,9,0,0,1600,1,0,3,4,9
234,234,0,10,0,0,1600,1,0,1,1,4
235,235,1,1,2,0,1200,1,0,5,3,1
236,236,1,2,2,0,1650,1,0,4,6,10
237,237,1,3,2,0,1200,1,0,4,12,8
238,238,1,4,2,0,1650,1,0,4,5,10
239,239,1,5,2,0,1200,1,0,3,10,8
240,240,1,6,2,0,1200,1,0,3,9,5
241,241,1,7,2,0,1000,1,0,1,7,6
242,242,1,8,2,0,1650,1,0,3,3,9
243,243,0,1,5,0,1000,1,0,4,8,1
244,244,0,2,5,0,1600,0,0,5,2,1
245,245,0,3,5,0,1400,0,0,5,9,12
246,246,0,4,5,0,1600,0,0,4,12,10
247,247,0,5,5,0,1000,0,0,3,9,8
248,248,0,6,5,0,1400,0,0,4,9,13
249,249,0,7,5,0,1800,0,0,3,10,7
250,250,0,8,5,0,1400,0,0,2,4,1
251,251,0,9,5,0,1800,0,0,2,5,11
252,252,0,10,5,0,1400,0,0,3,6,2
253,253,0,1,1,0,1200,0,0,5,12,5
254,254,0,2,1,0,1200,0,0,4,10,9
255,255,0,3,0,1,1650,1,0,4,10,5
256,256,0,4,1,0,1800,0,0,5,9,5
257,257,0,5,1,0,1600,0,0,4,7,2
258,258,0,6,1,0,2000,0,0,4,8,9
259,259,0,7,1,0,1400,0,0,3,6,14
260,260,0,8,0,1,1650,1,0,1,1,13
261,261,0,9,1,0,1200,0,0,3,3,4
262,262,0,10,1,0,1600,0,0,3,4,7
263,263,0,1,3,0,1600,0,0,4,1,9
264,264,0,2,3,0,1400,0,0,5,7,4
265,265,0,3,3,0,1600,0,0,5,1,14
266,266,0,4,3,0,1200,0,0,4,6,4
267,267,0,5,3,0,1400,0,0,4,6,14
268,268,0,6,3,0,1200,0,0,3,10,13
269,269,0,7,3,0,1400,0,0,4,6,3
270,270,0,8,3,0,1000,0,0,2,10,5
271,271,0,9,3,0,1600,0,0,3,1,3
272,272,0,10,3,0,1400,0,0,13,3,4
273,273,0,11,3,0,1400,0,0,2,12,5
274,274,0,1,0,1,1200,4,0,5,9,5
275,275,0,2,4,0,1400,1,0,5,3,1
276,276,0,3,4,0,1000,1,0,4,10,7
277,277,0,4,0,1,1200,4,0,4,12,7
278,278,0,5,4,0,1600,1,0,4,2,13
279,279,0,6,0,1,1200,4,0,3,2,4
280,280,0,7,4,0,1000,1,0,3,2,4
281,281,0,8,4,0,1600,1,0,2,9,5
282,282,0,9,4,0,1800,1,0,3,9,7
283,283,0,10,4,0,1400,1,0,3,9,12
284,284,1,1,0,0,1650,1,0,5,4,12
285,285,1,2,0,0,1200,1,0,4,4,2
286,286,1,3,0,0,1800,1,0,4,2,9
287,287,1,4,0,0,1650,1,0,4,10,4
288,288,1,5,0,0,1650,1,0,3,1,12
289,289,1,6,0,0,1200,1,0,3,6,7
290,290,1,7,0,0,1650,1,0,3,11,3
291,291,1,8,0,0,1200,1,0,2,1,9
292,292,0,1,5,0,1000,1,0,4,8,6
293,293,0,2,5,0,1200,1,0,4,4,8
294,294,0,3,5,0,1400,1,0,4,13,2
295,295,0,4,0,1,1800,1,0,5,10,14
296,296,0,5,0,1,1200,1,0,3,4,10
297,297,0,6,5,0,1400,1,0,4,2,6
298,298,0,7,5,0,1400,1,0,2,2,10
