,race_id,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,sec_time1,sec_time2,sec_time3,sec_time4,time1,time2,time3,time4,place_combination1,place_combination2,place_combination3,place_dividend1,place_dividend2,place_dividend3
0,0,0,1,0,0,1400,0,40-15,485000.0,5,13.53,21.59,23.94,23.58,13.53,35.12,59.06,82.64,8,11,6.0,36.5,25.5,18.0
1,1,0,2,0,0,1200,0,40-15,485000.0,5,24.05,22.64,23.7,,24.05,46.69,70.39,,5,13,4.0,12.5,47.0,33.5
2,2,0,3,0,0,1400,0,60-40,625000.0,4,13.77,22.22,24.88,22.82,13.77,35.99,60.87,83.69,11,1,13.0,23.0,23.0,59.5
3,3,0,4,0,0,1200,0,120-95,1750000.0,1,24.33,22.47,22.09,,24.33,46.8,68.89,,5,3,10.0,14.0,24.5,16.0
4,4,0,5,0,0,1600,0,60-40,625000.0,4,25.45,23.52,23.31,23.56,25.45,48.97,72.28,95.84,2,10,1.0,15.5,28.0,17.5
5,5,0,6,0,0,1200,0,60-40,625000.0,4,23.47,22.48,23.25,,23.47,45.95,69.2,,9,14,8.0,16.5,408.0,70.0
6,6,0,7,0,0,1400,0,100-80,1150000.0,2,13.75,21.61,22.81,23.34,13.75,35.36,58.17,81.51,5,7,6.0,41.5,21.5,79.0
7,7,0,8,0,0,1000,0,100-80,1150000.0,2,13.55,20.56,22.44,,13.55,34.11,56.55,,13,3,8.0,23.5,44.5,18.0
8,8,0,9,0,0,1400,0,80-60,850000.0,3,13.31,22.2,23.92,23.16,13.31,35.51,59.43,82.59,7,5,2.0,12.5,16.5,33.5
9,9,0,10,0,0,1200,0,80-60,850000.0,3,24.08,23.45,22.66,,24.08,47.53,70.19,,1,13,6.0,49.5,45.5,14.0
10,10,1,1,0,0,1650,0,40-15,485000.0,5,27.53,25.12,24.16,24.48,27.53,52.65,76.81,101.29,2,7,1.0,18.5,27.5,15.0
11,11,1,2,0,0,1650,0,60-40,625000.0,4,27.67,23.89,25.42,23.86,27.67,51.56,76.98,100.84,2,9,4.0,23.5,18.0,26.5
12,12,1,3,0,0,1200,0,60-40,625000.0,4,23.92,23.11,23.38,,23.92,47.03,70.41,,1,6,7.0,14.0,23.0,15.5
13,13,1,4,0,0,1000,0,60-40,625000.0,4,12.8,21.66,23.1,,12.8,34.46,57.56,,1,5,8.0,17.5,10.1,17.5
14,14,1,5,0,0,1650,0,60-40,625000.0,4,27.73,24.89,24.66,23.55,27.73,52.62,77.28,100.83,12,3,10.0,91.0,34.0,22.0
15,15,1,6,0,0,1000,0,80-60,850000.0,3,12.84,21.5,22.83,,12.84,34.34,57.17,,8,2,4.0,20.0,80.0,42.5
16,16,1,7,0,0,1650,0,80-60,850000.0,3,27.5,22.83,25.0,24.99,27.5,50.33,75.33,100.32,11,8,7.0,15.5,35.0,15.5
17,17,1,8,0,0,1200,0,100-80,1150000.0,2,24.02,22.53,23.45,,24.02,46.55,70.0,,1,7,11.0,15.5,20.5,28.0
18,18,0,1,1,0,1000,0,60-40,625000.0,4,13.25,20.8,22.84,,13.25,34.05,56.89,,3,5,1.0,40.0,13.0,34.5
19,19,0,2,1,0,1600,0,60-40,625000.0,4,24.83,23.28,23.59,23.5,24.83,48.11,71.7,95.2,7,10,1.0,28.0,21.5,21.0
20,20,0,3,1,0,1000,0,80-60,850000.0,3,13.38,20.88,22.32,,13.38,34.26,56.58,,9,8,3.0,35.5,38.0,38.5
21,21,0,4,0,1,1200,1,60-40,625000.0,4,23.98,22.11,23.64,,23.98,46.09,69.73,,5,6,1.0,20.0,17.5,34.0
22,22,0,5,1,0,1400,0,40-15,485000.0,5,13.86,22.47,23.23,23.44,13.86,36.33,59.56,83.0,9,6,3.0,19.0,21.5,33.5
23,23,0,6,1,0,1400,0,60-40,625000.0,4,13.69,23.2,23.53,22.85,13.69,36.89,60.42,83.27,2,3,12.0,18.5,13.5,52.5
24,24,0,7,1,0,1600,0,95-75,1150000.0,2,25.67,25.45,23.38,21.97,25.67,51.12,74.5,96.47,8,1,2.0,12.5,21.5,36.0
25,25,0,8,0,1,1200,1,80-60,850000.0,3,23.78,22.66,22.96,,23.78,46.44,69.4,,9,5,7.0,12.5,30.0,32.0
26,26,0,9,1,0,1400,0,115-90,1750000.0,1,13.52,22.91,22.95,22.42,13.52,36.43,59.38,81.8,3,9,6.0,17.5,22.0,18.5
27,27,0,10,1,0,1400,0,85-60,850000.0,3,13.75,22.06,23.89,22.95,13.75,35.81,59.7,82.65,5,4,6.0,31.0,21.5,32.5
28,28,1,1,2,0,1800,2,60-40,625000.0,4,13.86,22.89,24.25,25.02,13.86,36.75,61.0,86.02,1,5,3.0,23.5,28.0,21.0
29,29,1,2,2,0,1000,2,40-15,485000.0,5,13.17,21.92,23.26,,13.17,35.09,58.35,,10,6,9.0,29.5,35.5,29.5
30,30,1,3,2,0,1200,2,60-40,625000.0,4,24.39,23.49,23.12,,24.39,47.88,71.0,,8,9,7.0,79.5,16.0,25.0
31,31,1,4,2,0,1650,2,40-15,485000.0,5,27.88,24.12,25.08,24.61,27.88,52.0,77.08,101.69,3,10,4.0,13.0,40.5,41.5
32,32,1,5,2,0,1650,2,65-40,625000.0,4,27.64,23.56,25.27,24.7,27.64,51.2,76.47,101.17,9,10,2.0,23.0,53.0,19.0
33,33,1,6,2,0,1800,1,80-60,850000.0,3,13.91,22.83,24.62,25.52,13.91,36.74,61.36,86.88,10,5,1.0,51.5,21.0,15.5
34,34,1,7,2,0,1200,1,80-60,850000.0,3,24.16,23.28,23.04,,24.16,47.44,70.48,,5,9,3.0,13.5,21.5,40.0
35,35,1,8,2,0,1650,1,95-75,1150000.0,2,27.43,23.92,24.96,24.2,27.43,51.35,76.31,100.51,10,9,4.0,40.0,15.0,58.0
36,36,0,1,3,0,1200,0,60-40,625000.0,4,23.75,22.17,23.75,,23.75,45.92,69.67,,10,6,2.0,17.5,24.0,14.0
37,37,0,2,3,0,1600,0,40-15,485000.0,5,24.5,23.05,24.11,24.52,24.5,47.55,71.66,96.18,12,5,9.0,30.0,15.5,24.5
38,38,0,3,3,0,1200,0,60-40,625000.0,4,23.7,22.88,23.39,,23.7,46.58,69.97,,3,7,8.0,18.0,22.5,22.0
39,39,0,4,3,0,1400,0,40-15,485000.0,5,13.81,21.72,23.67,24.01,13.81,35.53,59.2,83.21,4,9,14.0,29.5,120.0,50.0
40,40,0,5,3,0,1400,0,60-40,625000.0,4,13.72,22.11,23.34,23.37,13.72,35.83,59.17,82.54,2,10,5.0,21.0,28.0,15.0
41,41,0,6,3,0,1600,0,60-40,625000.0,4,24.52,22.92,24.05,23.79,24.52,47.44,71.49,95.28,2,8,9.0,18.5,59.0,276.0
42,42,0,7,3,0,1200,0,100-80,1150000.0,2,23.59,22.5,22.92,,23.59,46.09,69.01,,3,2,4.0,32.5,16.5,12.5
43,43,0,8,3,0,1200,0,80-60,850000.0,3,23.77,22.25,23.57,,23.77,46.02,69.59,,7,5,1.0,97.0,24.5,136.5
44,44,0,9,3,0,1200,0,80-60,850000.0,3,24.12,22.41,23.19,,24.12,46.53,69.72,,11,13,2.0,18.5,12.5,26.5
45,45,0,10,3,0,1600,0,80-60,850000.0,3,24.14,23.31,24.2,23.48,24.14,47.45,71.65,95.13,13,14,8.0,22.5,99.0,54.0
46,46,0,1,4,0,1800,0,60-40,625000.0,4,14.03,22.64,24.0,24.55,14.03,36.67,60.67,85.22,11,1,9.0,53.0,24.5,72.0
47,47,0,2,4,0,1600,0,60-40,625000.0,4,24.97,23.25,23.41,23.65,24.97,48.22,71.63,95.28,7,9,1.0,14.5,14.0,16.5
48,48,0,3,4,0,1800,0,80-60,850000.0,3,14.48,24.16,24.5,23.8,14.48,38.64,63.14,86.94,3,8,5.0,13.0,14.0,18.5
49,49,0,4,4,0,1000,0,60-40,625000.0,4,13.58,21.03,23.25,,13.58,34.61,57.86,,9,2,6.0,73.0,49.5,25.5
50,50,0,5,4,0,1400,0,40-15,485000.0,5,13.8,21.59,23.77,23.71,13.8,35.39,59.16,82.87,6,8,3.0,44.5,32.5,13.5
51,51,0,6,4,0,1000,0,80-60,850000.0,3,13.62,20.91,22.58,,13.62,34.53,57.11,,8,14,10.0,30.5,13.0,63.5
52,52,0,7,4,0,1400,0,60-40,625000.0,4,13.62,21.59,24.05,23.69,13.62,35.21,59.26,82.95,11,2,8.0,160.5,13.0,29.5
53,53,0,8,4,0,1400,0,G,2300000.0,13,13.53,22.47,23.17,22.06,13.53,36.0,59.17,81.23,4,6,8.0,15.5,24.5,33.0
54,54,0,9,4,0,1400,0,80-60,850000.0,3,14.09,23.0,23.44,22.33,14.09,37.09,60.53,82.86,9,4,5.0,49.0,24.0,14.0
55,55,0,10,4,0,1400,0,100-80,1150000.0,2,14.0,22.0,22.72,22.96,14.0,36.0,58.72,81.68,1,11,4.0,23.0,34.0,36.5
56,56,0,1,5,0,1600,2,80-60,850000.0,3,24.77,23.58,23.31,23.7,24.77,48.35,71.66,95.36,7,8,1.0,21.0,13.0,13.5
57,57,0,2,0,1,1650,3,65-40,625000.0,4,28.73,25.39,24.08,22.81,28.73,54.12,78.2,101.01,4,2,7.0,11.5,15.0,25.0
58,58,0,3,5,0,1800,2,100-80,1150000.0,2,14.06,24.72,24.28,22.97,14.06,38.78,63.06,86.03,7,4,3.0,11.0,23.0,13.5
59,59,0,4,5,0,1800,2,40-10,485000.0,5,13.78,22.75,25.17,24.2,13.78,36.53,61.7,85.9,12,2,10.0,18.0,36.0,18.5
60,60,0,5,0,1,1200,3,60-40,625000.0,4,24.23,22.47,23.59,,24.23,46.7,70.29,,11,7,3.0,15.0,12.5,34.5
61,61,0,6,0,1,1200,3,100-80,1150000.0,2,23.64,22.22,23.56,,23.64,45.86,69.42,,12,5,7.0,14.0,65.5,32.5
62,62,0,7,5,0,1400,2,60-40,625000.0,4,13.86,22.5,22.74,23.81,13.86,36.36,59.1,82.91,1,9,5.0,11.5,22.5,124.5
63,63,0,8,5,0,1000,2,G,2300000.0,13,13.03,20.52,22.52,,13.03,33.55,56.07,,2,10,11.0,14.5,32.5,35.0
64,64,0,9,0,1,1200,3,80-60,850000.0,3,23.54,22.32,23.56,,23.54,45.86,69.42,,6,5,8.0,25.0,16.5,18.0
65,65,0,10,5,0,1400,2,80-60,850000.0,3,13.8,21.77,23.28,23.19,13.8,35.57,58.85,82.04,6,10,2.0,54.0,14.5,45.0
66,66,1,1,4,0,1650,1,40-10,485000.0,5,28.0,24.17,25.33,23.81,28.0,52.17,77.5,101.31,1,3,2.0,50.5,16.5,34.5
67,67,1,2,4,0,1800,1,60-40,625000.0,4,13.78,23.33,24.72,25.19,13.78,37.11,61.83,87.02,5,1,9.0,16.0,29.0,35.0
68,68,1,3,4,0,1650,1,100-80,1150000.0,2,28.06,24.52,24.44,23.2,28.06,52.58,77.02,100.22,10,7,2.0,16.5,25.5,38.5
69,69,1,4,4,0,1200,1,60-40,625000.0,4,24.25,22.94,23.58,,24.25,47.19,70.77,,3,2,9.0,13.5,27.0,25.5
70,70,1,5,4,0,1650,1,60-40,625000.0,4,27.92,24.28,25.44,23.61,27.92,52.2,77.64,101.25,1,6,10.0,20.0,54.0,15.0
71,71,1,6,4,0,1200,1,80-60,850000.0,3,23.97,22.62,23.36,,23.97,46.59,69.95,,2,6,11.0,80.0,12.5,24.0
72,72,1,7,4,0,1650,1,80-60,850000.0,3,28.58,24.73,25.23,23.34,28.58,53.31,78.54,101.88,5,7,12.0,13.0,14.5,35.5
73,73,1,8,4,0,1650,1,80-60,850000.0,3,28.11,24.14,25.19,23.94,28.11,52.25,77.44,101.38,8,1,12.0,26.0,20.0,19.0
74,74,0,1,0,0,1200,0,40-15,485000.0,5,24.55,22.98,22.96,,24.55,47.53,70.49,,10,11,9.0,25.0,87.5,44.5
75,75,0,2,0,0,1400,0,40-15,485000.0,5,13.58,22.24,24.0,23.87,13.58,35.82,59.82,83.69,7,4,8.0,16.5,28.0,18.0
76,76,0,3,0,0,1200,0,60-40,625000.0,4,24.41,22.83,23.22,,24.41,47.24,70.46,,10,6,13.0,35.5,12.5,133.5
77,77,0,4,0,0,1200,0,60-40,625000.0,4,23.96,23.34,23.16,,23.96,47.3,70.46,,3,11,9.0,17.0,145.0,73.5
78,78,0,5,0,0,1400,0,60-40,625000.0,4,13.69,21.91,23.67,23.52,13.69,35.6,59.27,82.79,6,13,2.0,13.5,42.0,73.5
79,79,0,6,0,0,1200,0,80-60,850000.0,3,24.12,22.41,23.0,,24.12,46.53,69.53,,10,9,7.0,16.0,16.5,26.0
80,80,0,7,0,0,1600,0,65-40,625000.0,4,24.66,23.22,24.12,23.82,24.66,47.88,72.0,95.82,6,13,4.0,29.5,48.5,33.0
81,81,0,8,0,0,1800,0,115-90,1750000.0,1,13.75,23.12,23.69,23.39,13.75,36.87,60.56,83.95,1,7,2.0,23.0,19.0,33.0
82,82,0,9,0,0,1200,0,100-80,1150000.0,2,23.89,22.34,23.08,,23.89,46.23,69.31,,8,7,13.0,21.0,23.0,47.5
83,83,0,10,0,0,1400,0,80-60,850000.0,3,13.88,22.28,24.64,22.43,13.88,36.16,60.8,83.23,12,8,9.0,14.0,20.0,30.0
84,84,0,11,0,0,1600,0,95-75,1150000.0,2,25.44,23.45,23.62,22.99,25.44,48.89,72.51,95.5,12,4,1.0,14.0,26.0,41.5
85,85,1,1,5,0,1800,1,40-10,485000.0,5,13.92,22.62,24.38,26.05,13.92,36.54,60.92,86.97,12,8,4.0,51.0,55.5,48.0
86,86,1,2,5,0,1200,1,60-40,625000.0,4,23.99,22.91,23.74,,23.99,46.9,70.64,,9,10,6.0,39.0,14.0,25.5
87,87,1,3,5,0,1000,1,60-40,625000.0,4,12.99,21.84,22.92,,12.99,34.83,57.75,,8,2,5.0,13.5,13.0,46.0
88,88,1,4,5,0,1200,1,40-10,485000.0,5,24.59,23.19,23.35,,24.59,47.78,71.13,,7,10,11.0,52.0,59.0,17.0
89,89,1,5,5,0,1650,1,60-40,625000.0,4,27.48,23.25,24.59,25.03,27.48,50.73,75.32,100.35,10,9,5.0,52.5,17.5,16.0
90,90,1,6,5,0,1000,1,80-60,850000.0,3,13.03,21.53,23.18,,13.03,34.56,57.74,,5,6,7.0,14.0,29.0,54.5
91,91,1,7,5,0,1200,1,80-60,850000.0,3,24.11,22.86,23.31,,24.11,46.97,70.28,,1,3,12.0,26.0,54.5,13.0
92,92,1,8,5,0,1800,1,80-60,850000.0,3,13.73,24.22,23.8,25.7,13.73,37.95,61.75,87.45,9,7,2.0,22.5,18.0,40.5
93,93,1,1,0,0,2200,1,60-40,625000.0,4,14.61,24.34,25.75,26.11,14.61,38.95,64.7,90.81,10,6,1.0,40.0,19.5,18.0
94,94,1,2,0,0,1650,1,40-15,485000.0,5,28.0,23.99,25.17,24.83,28.0,51.99,77.16,101.99,10,4,11.0,33.0,20.5,51.0
95,95,1,3,0,0,1200,1,60-40,625000.0,4,23.98,22.56,23.78,,23.98,46.54,70.32,,3,7,6.0,12.0,24.5,45.0
96,96,1,4,0,0,1650,1,60-40,625000.0,4,29.23,24.23,24.72,23.75,29.23,53.46,78.18,101.93,7,10,2.0,25.0,12.5,41.0
97,97,1,5,0,0,1650,1,60-40,625000.0,4,28.02,24.0,26.05,23.96,28.02,52.02,78.07,102.03,6,7,4.0,23.5,32.0,21.5
98,98,1,6,0,0,1650,1,80-60,850000.0,3,27.58,24.41,25.38,24.11,27.58,51.99,77.37,101.48,5,12,7.0,18.0,22.0,43.0
99,99,1,7,0,0,1650,1,85-60,850000.0,3,28.2,24.64,25.27,23.6,28.2,52.84,78.11,101.71,8,9,5.0,21.0,33.5,43.0
100,100,1,8,0,0,1200,1,80-60,850000.0,3,24.36,22.88,23.48,,24.36,47.24,70.72,,5,10,11.0,16.0,17.5,48.5
101,101,1,9,0,0,1200,1,80-60,850000.0,3,23.91,24.11,22.99,,23.91,48.02,71.01,,5,9,10.0,21.0,39.5,27.0
102,102,1,10,0,0,1200,1,105-80,1400000.0,1,23.42,23.16,23.36,,23.42,46.58,69.94,,4,10,8.0,13.0,38.0,18.0
103,103,1,11,0,0,1650,1,105-80,1400000.0,1,28.09,25.83,25.44,22.39,28.09,53.92,79.36,101.75,7,11,2.0,26.0,33.5,20.5
104,104,0,1,2,0,1400,1,40-15,485000.0,5,13.77,21.58,23.23,24.38,13.77,35.35,58.58,82.96,8,7,11.0,15.0,23.0,41.0
105,105,0,2,2,0,1400,1,60-40,625000.0,4,13.86,22.66,23.99,22.87,13.86,36.52,60.51,83.38,10,3,8.0,81.0,13.5,16.5
106,106,0,3,2,0,1200,1,60-40,625000.0,4,23.97,22.86,23.64,,23.97,46.83,70.47,,10,4,6.0,85.0,18.5,12.5
107,107,0,4,2,0,1400,1,60-40,625000.0,4,13.8,21.64,24.28,23.43,13.8,35.44,59.72,83.15,8,4,12.0,37.5,15.5,16.5
108,108,0,5,2,0,1000,1,95-75,1150000.0,2,13.06,21.0,22.96,,13.06,34.06,57.02,,13,10,1.0,81.5,20.0,136.0
109,109,0,6,2,0,1800,1,80-60,850000.0,3,13.53,22.11,23.73,23.97,13.53,35.64,59.37,83.34,13,8,7.0,84.5,137.5,66.0
110,110,0,7,2,0,1200,1,80-60,850000.0,3,23.86,22.03,23.35,,23.86,45.89,69.24,,2,4,3.0,12.0,24.0,36.5
111,111,0,8,2,0,1200,1,G,2300000.0,13,23.69,22.77,22.35,,23.69,46.46,68.81,,10,4,13.0,48.5,58.5,65.0
112,112,0,9,2,0,1600,1,G,2300000.0,13,25.17,23.45,23.91,22.18,25.17,48.62,72.53,94.71,2,8,11.0,64.5,19.0,27.0
113,113,0,10,2,0,1400,1,105-80,1400000.0,1,13.66,21.97,23.97,22.41,13.66,35.63,59.6,82.01,9,4,3.0,28.5,26.0,20.0
114,114,0,11,2,0,1400,1,85-60,850000.0,3,13.83,22.81,23.78,22.55,13.83,36.64,60.42,82.97,10,4,7.0,12.0,17.5,22.0
